NAME; STORE; STANDARD PRICE; ORIGINAL PRICE; SALE PRICE
Funko Pop! Stacks Plastic Protector, ;Hot Topic ;$10.50;
Funko Galactic Plushies Rick And Morty Toxic Rick Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Jurassic World 2: Fallen Kingdom Pop! Movies Indoraptor Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Doug Pop! Quaildog Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Disney Doug Pop! Quailman Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Disney A Goofy Movie Pop! Powerline Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Disney Diamond Collection The Little Mermaid Pop! Flounder Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$14.50;
Funko Halo Pop! Halo Sgt Johnson Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Bendy And The Ink Machine Pop! Games Dead Boris Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko DC Super Heroes Harley Quinn And The Skull Bags Pop! Heroes Harley Quinn Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;;$12.50;$10.00;;
Funko Marvel Contest Of Champions Pop! Games Glow-In-The-Dark Civil Warrior Vinyl Bobble-Head Hot Topic Exclusive, ;Hot Topic ;;$12.50;$9.00;;
Funko Jurassic Park Pop! Movies John Hammond Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Solo: A Star Wars Story Pop! Lando Calrissian Vinyl Bobble-Head Hot Topic Exclusive, ;Hot Topic ;;$12.50;$10.00;;
Funko Bendy And The Ink Machine Pop! Games Sammy Lawrence Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko IT Pop! Movies Pennywise With Spider Legs Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney The Nightmare Before Christmas Pop! Sally Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Jurassic World: Fallen Kingdom Pop! Movies Owen Grady Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Rick And Morty Mystery Minis Blind Bag Plush Key Chain, ;Hot Topic ;;$5.90;$4.72;;
Rick And Morty Series 2 Mystery Minis Blind Box Figure, ;Hot Topic ;;$7.90;$6.32;;
Funko Disney Moana Pop! Ceremony Moana Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Gossip Girl Pop! Television Nate Archibald Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Deadpool Pop! Domino Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Gossip Girl Pop! Television Serena van der Woodsen Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Jurassic World: Fallen Kingdom Pop! Movies Stygimoloch Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Stranger Things Pop! Television Hopper (With Vines) Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Gossip Girl Pop! Television Dan Humphrey Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney Moana Pop! Grandma Tala Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Gossip Girl Pop! Television Blair Waldorf Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Rick And Morty Galactic Plushies Pickle Rick Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Rick And Morty Galactic Plushies Pickle Rick Scared Collectible Plush, ;Hot Topic ;;$12.90;$10.32;;
Funko Rick And Morty Pickle Rick (Biting Lip) Galactic Plushie, ;Hot Topic ;;$12.90;$10.32;;
Funko Ouran High School Host Club Pop! Animation Haruhi Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Rick And Morty Pickle Rick Annoyed Galactic Plushie, ;Hot Topic ;;$12.90;$10.32;;
Funko Overwatch Pop! Games Sombra Translucent Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko Solo: A Star Wars Story Pop! Han Solo Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$7.00;;
Funko Five Nights At Freddy's: The Twisted Ones Pop! Books Stanley Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;;$12.50;$7.00;;
Funko Solo: A Star Wars Story Pop! L3-37 Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Solo: A Star Wars Story Pop! Qi'ra Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Ready Player One Pop! Movies Parzival (Clear) Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;;$12.50;$9.00;;
Funko Solo: A Star Wars Story Pop! Val Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Solo: A Star Wars Story Pop! Tobias Beckett Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$7.00;;
Funko Pee-Wee Herman Pop! Television Miss Yvonne Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Rick And Morty Dorbz Morty Vinyl Figure, ;Hot Topic ;;$8.90;$7.00;;
Funko Rick And Morty Dorbz Rick Vinyl Figure, ;Hot Topic ;;$8.90;$7.00;;
Funko Rick And Morty Dorbz Snowball Vinyl Figure, ;Hot Topic ;;$8.90;$7.00;;
Funko Marvel X-Men Pop! Colossus Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Pop! Rocks Alice Cooper Straightjacket Vinyl Figure Hot Topic Exclusive, ;Hot Topic ;$12.50;
Funko IT Pop! Movies Mike Hanlon Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Stranger Things Pop! Television Billy Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Pee-Wee Herman Pop! Television Pee-Wee Herman Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Saturday Night Live Pop! SNL David S. Pumpkins Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel X-Men Pop! Negasonic Teenage Warhead Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko IT Pop! Movies Stanley Uris Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Marvel Deadpool Pop! Cable Vinyl Bobble-Head, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney A Wrinkle In Time Pop! Mrs. Which Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Super Troopers Pop! Movies Farva Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Super Troopers Pop! Movies Ramathorn Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney A Wrinkle In Time Pop! Mrs. Whatsit Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Disney A Wrinkle In Time Pop! Mrs. Who Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko Super Troopers Pop! Movies Mac Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
Funko IT Pop! Movies Eddie Kaspbrak Vinyl Figure, ;Hot Topic ;;$12.50;$9.00;;
