,NAME,STORE,ORIGINAL PRICE,SALE PRICE
151,"Funko Adventure Time x Minecraft Pop! Animation Jake Vinyl Figure, ",Hot Topic,12.50,9.00
152,"Funko The Nightmare Before Christmas Shock Supercute Plushie, ",Hot Topic,14.90,11.92
153,"Funko Fantastic Beasts And Where To Find Them Fwooper Supercute Plushies Hot Topic Exclusive, ",Hot Topic,14.90,11.92
154,"Funko Disney Gargoyles Pocket Pop! Goliath Key Chain, ",Hot Topic,6.90,5.52
155,"Funko The Nightmare Before Christmas Lock Supercute Plushie, ",Hot Topic,14.90,11.92
156,"Funko Steven Universe Lapis Lazuli Supercute Plushies Hot Topic Exclusive, ",Hot Topic,12.90,10.32
157,"Funko Overwatch Pop! Games Hanzo Vinyl Figure, ",Hot Topic,12.50,9.00
158,"Funko Five Nights At Freddy's Pop! Games Orville Elephant Vinyl Figure, ",Hot Topic,12.50,9.00
159,"Funko Five Nights At Freddy's Pop! Games Pig Patch Vinyl Figure, ",Hot Topic,12.50,9.00
160,"Funko The Nightmare Before Christmas Sally Supercute Plushie, ",Hot Topic,12.90,10.32
161,"Funko Disney Gargoyles Pocket Pop! Demona Stone Key Chain Hot Topic Exclusive, ",Hot Topic,6.90,5.52
162,"Funko Overwatch Pop! Games Doomfist Vinyl Figure, ",Hot Topic,12.50,9.00
163,"Funko Disney Gargoyles Pop! Brooklyn Vinyl Figure, ",Hot Topic,12.50,9.00
164,"Funko Adventure Time x Minecraft Pop! Animation Princess Bubblegum Vinyl Figure, ",Hot Topic,12.50,9.00
165,"Funko Five Nights At Freddy's Pop! Games Rockstar Freddy Vinyl Figure, ",Hot Topic,12.50,9.00
166,"Funko Sailor Moon Mystery Minis Blind Box Figure Hot Topic Exclusive Variants, ",Hot Topic,7.90,6.32
167,"Funko Steven Universe Supercute Plushies Steven With Jewel Collectible Plush, ",Hot Topic,12.90,10.32
168,"Funko The Nightmare Before Christmas Zero Pop! Plush, ",Hot Topic,32.90,26.32
169,"Funko Steven Universe Supercute Plushies Garnet Collectible Plush, ",Hot Topic,12.90,10.32
170,"Funko Star Wars: The Last Jedi Pop! Movies C'Ai Threnalli Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
171,"Funko Steven Universe Supercute Plushies Amethyst Collectible Plush, ",Hot Topic,12.90,10.32
172,"Funko Star Wars: The Last Jedi Pop! Movies Porg Vinyl Bobble-Head, ",Hot Topic,12.50,7.00
173,"Funko Steven Universe Supercute Plushies Pearl Collectible Plush, ",Hot Topic,12.90,10.32
174,"Funko Steven Universe Supercute Plushies Steven Collectible Plush, ",Hot Topic,12.90,10.32
175,"Funko Star Wars: The Last Jedi Pop! Movies Caretaker Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
176,"Funko The Lord Of The Rings Smeagol Supercute Plushie Hot Topic Exclusive, ",Hot Topic,12.90,6.45
177,"Funko DC Comics Super Heroes Pop! Heroes Wonder Woman From Flashpoint Vinyl Figure Hot Topic Exclusive, ",Hot Topic,12.50,
178,"Funko The Lord Of The Rings Pocket Pop! Aragorn Key Chain, ",Hot Topic,7.90,6.32
179,"Funko Marvel Ant-Man And The Wasp Pocket Pop! Wasp Key Chain, ",Hot Topic,6.90,5.52
180,"Funko Marvel Deadpool Pop! Clown Deadpool Vinyl Bobble-Head, ",Hot Topic,12.50,9.00
181,"Funko Steven Universe Pocket Pop! Pink Diamond Key Chain Hot Topic Exclusive, ",Hot Topic,6.90,5.52
182,"Funko Coming To America Pop! Movies Prince Akeem Vinyl Figure, ",Hot Topic,12.50,9.00
183,"Funko Rick And Morty Pocket Pop! Toxic Rick Key Chain Hot Topic Exclusive, ",Hot Topic,6.90,5.52
184,"Funko Rick And Morty Pocket Pop! Toxic Morty Key Chain Hot Topic Exclusive, ",Hot Topic,6.90,5.52
185,"Funko Coming To America Pop! Movies Semmi Vinyl Figure, ",Hot Topic,12.50,9.00
186,"Funko Bullet Club Pop! The Young Bucks Vinyl Figure Set Hot Topic Exclusive, ",Hot Topic,24.50,19.60
187,"Funko New Japan Pro-Wrestling Young Bucks Pop! T-Shirt Hot Topic Exclusive, BLACK",Hot Topic,20.90,16.72
